iter	MultiClass
257	0.6757869509
258	0.6755408468
259	0.6754047401
260	0.675260601
261	0.6750709856
262	0.67500754
263	0.6748786799
264	0.6747201842
265	0.6746067843
266	0.674436475
267	0.6742488074
268	0.6740867609
269	0.6739707974
270	0.673779403
271	0.6736952753
272	0.67343239
273	0.673279305
274	0.6731249647
275	0.6729652205
276	0.6727950319
277	0.6726494948
278	0.6724182705
279	0.6722734064
280	0.6720356508
281	0.671886289
282	0.6717385188
283	0.6715401109
284	0.6713541313
285	0.671161781
286	0.6709300212
287	0.6707972992
288	0.6705703853
289	0.6703564868
290	0.6702335849
291	0.670107105
292	0.6698354421
293	0.6697628355
294	0.6696050826
295	0.6694624109
296	0.6692871962
297	0.6690124224
298	0.6688544293
299	0.6686119322
300	0.6684059992
301	0.6682732358
302	0.6680945897
303	0.6678758677
304	0.6675604651
305	0.6673892861
306	0.6672175903
307	0.6669434317
308	0.6667286539
309	0.6666196707
310	0.6664115722
311	0.6662057911
312	0.6661077594
313	0.6658895831
314	0.6657238537
315	0.6653647711
316	0.6652183789
317	0.6649665434
318	0.6648520723
319	0.6647369866
320	0.6646232523
321	0.6644718505
322	0.6643660104
323	0.6641987743
324	0.663901014
325	0.663620231
326	0.6632094567
327	0.6630757205
328	0.66291848
329	0.6626497802
330	0.6625193437
331	0.6623030176
332	0.6621725178
333	0.6620043682
334	0.661849898
335	0.6617017754
336	0.6615375207
337	0.661430748
338	0.661201891
339	0.6609791253
340	0.6608094154
341	0.6606533829
342	0.6604741634
343	0.6603111399
344	0.6600282589
345	0.6598568734
346	0.659595913
347	0.6594448221
348	0.6593030034
349	0.6592090399
350	0.6590572117
351	0.6588960253
352	0.6586612181
353	0.6584888454
354	0.6582260642
355	0.65808331
356	0.6579405792
357	0.6577385677
358	0.6575561892
359	0.6572667366
360	0.6570951676
361	0.6569655151
362	0.6568117182
363	0.6567017167
364	0.6565240454
365	0.6564289729
366	0.6562279991
367	0.6560514107
368	0.6559566302
369	0.6558191309
370	0.6556499475
371	0.65556185
372	0.655335114
373	0.6551366404
374	0.6550142321
375	0.654883679
376	0.6546225881
377	0.654502497
378	0.6543504081
379	0.6541735345
380	0.6539786721
381	0.6537827658
382	0.6535999209
383	0.6534809996
384	0.6533215298
385	0.6531935831
386	0.6529441336
387	0.6527878455
388	0.6526309741
389	0.6523979069
390	0.6522032981
391	0.6520431923
392	0.6518699614
393	0.6517432315
394	0.6515852802
395	0.6514950385
396	0.651283454
397	0.6511378979
398	0.6510062296
399	0.6508594321
400	0.6506701179
401	0.6505109358
402	0.6502863806
403	0.6501736845
404	0.6499735098
405	0.6498368896
406	0.6496629302
407	0.6494710967
408	0.6493130171
409	0.6491316662
410	0.6489075896
411	0.6487327912
412	0.6486430935
413	0.6484561755
414	0.648357843
415	0.6481704663
416	0.6479895104
417	0.6479077377
418	0.6477751469
419	0.6476280524
420	0.6474668806
421	0.6473252911
422	0.6471895209
423	0.6469319011
424	0.6468176199
425	0.6465883647
426	0.6463942232
427	0.6462563097
428	0.6461741833
429	0.6460505191
430	0.6459166174
431	0.6456243868
432	0.6454353008
433	0.6452906011
434	0.6450389317
435	0.6449492117
436	0.6448523428
437	0.6446828636
438	0.6445271518
439	0.6444084954
440	0.6442069501
441	0.6440784825
442	0.6439168785
443	0.6437535404
444	0.6436423652
445	0.6434759445
446	0.6433589534
447	0.6431350168
448	0.642953349
449	0.6428357615
450	0.6427332304
451	0.6425541505
452	0.6424143824
453	0.6423061495
454	0.6420999518
455	0.6418804923
456	0.6416394901
457	0.6415390734
458	0.6414590983
459	0.6412889566
460	0.6412110718
461	0.6410830283
462	0.6409577655
463	0.6407962486
464	0.6407129839
465	0.6406115279
466	0.6404118071
467	0.6402314659
468	0.6401049428
469	0.640003036
470	0.6398503264
471	0.6396735795
472	0.6396225233
473	0.6394395397
474	0.6392363567
475	0.639099276
476	0.6389938144
477	0.638879475
478	0.6386188323
479	0.6384653155
480	0.6383166823
481	0.6380683913
482	0.6379215675
483	0.6378449863
484	0.6377587356
485	0.6375548128
486	0.6374450041
487	0.6372665696
488	0.6371297602
489	0.6370074053
490	0.6368381344
491	0.6366577798
492	0.6365439205
493	0.636386862
494	0.6362053951
495	0.6360602123
496	0.6358351267
497	0.6357142389
498	0.6355900002
499	0.6354218887
500	0.6352856735
501	0.6351683253
502	0.6349968936
503	0.6348335025
504	0.6347022956
505	0.634560478
506	0.6345028981
507	0.6343324306
508	0.6342706287
509	0.6341874761
510	0.6340793444
511	0.6339601692
512	0.6339023824
513	0.6336823589
514	0.6335599906
515	0.6334143897
516	0.6332066786
517	0.6331056176
518	0.6329594142
519	0520	0.633831520	0521	0.633638521	0522	0.633546522	0523	0.633377523	0524	0.6332917237
525	0.6331130194
526	0.6330097184
527	0.632921193
528	0.6328631184
529	0.632768011
530	0.6326555945
531	0.6325169519
532	0.6323299646
533	0.632240346
534	0.6320980191
535	0.6319920771
536	0.6318443058
537	0.6317537225
538	0.6315946335
539	0.6314578036
540	0.6312674972
541	0.6310462866
542	0.6308897788
543	0.6308123917
544	0.6306490849
545	0.6305030121
546	0.6303915751
547	0.6301250111
548	0.6300004752
549	0.6298501359
550	0.6297352791
551	0.6295689806
552	0.6293966835
553	0.6292718228
554	0.629096647
555	0.6289151393
556	0.6287845707
557	0.628688658
558	0.6286044339
559	0.6284402428
560	0.6282896138
561	0.6281763509
562	0.6280193289
563	0.6278162312
564	0.6276413341
565	0.6274925715
566	0.6272616937
567	0.6271311213
568	0.6270148583
569	0.6267742905
570	0.6266385672
571	0.6265591803
572	0.6264652574
573	0.6262948055
574	0.6261963118
575	0.6260217864
576	0.6259653986
577	0.625838739
578	0.625576443
579	0.6253727718
580	0.6252498259
581	0.6251033078
582	0.6249742637
583	0.6248929519
584	0.6247185754
585	0.6246053
586	0.6244596041
587	0.6243066605
588	0.6242118691
589	0.6241231663
590	0.624024854
591	0.6238944599
592	0.6237926584
593	0.6236560406
594	0.6235815569
595	0.6234727359
596	0.6233084201
597	0.6231010339
598	0.6229515077
599	0.622882695
600	0.6227974486
601	0.6226835273
602	0.6225944341
603	0.6223723375
604	0.622237563
605	0.6221089753
606	0.6219569804
607	0.6218450582
608	0.621634721
609	0.6215263521
610	0.6213653864
611	0.6211883669
612	0.6210481969
613	0.620894968
614	0.6207991993
615	0.6207066404
616	0.6205349764
617	0.6203725105
618	0.620236713
619	0.6201572023
620	0.620077209
621	0.6199468734
622	0.621	0.61868623	0.6195917979
624	0.623	0.6183625	0.6624	0.6182626	0.6625	0.6180627	0.6626	0.6179628	0.6627	0.6177629	0.6628	0.6176630	0.6629	0.617631	0.61630	0.617632	0.61631	0.617633	0.61632	0.617634	0.61633	0.617635	0.61634	0.616636	0.61635	0.616637	0.61636	0.616638	0.61637	0.616639	0.61638	0.61640	0.617639	0.61641	0.617640	0.61642	0.617641	0.6643	0.6170642	0.6644	0.6168643	0.6645	0.6168644	0.6646	0.6166645	0.6647	0.6165646	0.6648	0.6163647	0.6649	0.6162648	0.6650	0.6161649	0.6651	0.6160650	0.6652	0.6158651	0.6653	0.615652	0.61654	0.615653	0.61655	0.615654	0.61656	0.615655	0.61657	0.61656	0.614658	0.657	0.61405659	0658	0.613912660	0659	0.613828661	0660	0.613753662	0661	0.613605663	662	0.613491664	0663	0.613313665	0664	0.613258666	0665	0.613174667	0666	0.613008668	0667	0.612874669	0668	0.612819670	0669	0.6126574895
670	0.6125473004
671	0.612388328
672	0.6122562671
673	0.6121874513
674	0.6120956551
675	0.61198702
676	0.6118531917
677	0.611775082
678	0.6116150642
679	0.6115394777
680	0.6114762711
681	0.6113864925
682	0.6112738167
683	0.6111732607
684	0.6109943221
685	0.6108198171
686	0.6106691655
687	0.6105549903
688	0.6104117633
689	0.6103124761
690	0.6102363922
691	0.6100948564
692	0.6100147781
693	0.6099293273
694	0.6098823393
695	0.6097435799
696	0.6095691942
697	0.6093355812
698	0.6092180647
699	0.6090321252
700	0.6089084523
701	0.6087678058
702	0.6086883017
703	0.6085844191
704	0.6085280187
705	0.6084286649
706	0.6083589493
707	0.6081916483
708	0.608075367
709	0.6079777286
710	0.6078268537
711	0.6076901172
712	0.6075701936
713	0.6074704152
714	0.6073585525
715	0.6071878395
716	0.6070598151
717	0.6069855928
718	0.6068638720	719	0.6067673721	720	0.6066474722	721	0.6065593723	722	0.6064899724	723	0.6063754725	724	0.6062797726	0.6071073392
727	0.6069722533
728	0.6068699011
729	0.6067776145
730	0.6066377655
731	0.6065641451
732	0.606386958
733	0.6062661533
734	0733	0.605191735	0734	0.605095736	0735	0.604996737	0736	0.604910738	737	0.604770739	738	0.6046191740	739	0.6044342741	740	0.604290742	741	0.6041905743	742	0.6040616068
743	0.6039544
744	0.6038344819
745	0.6037740723
746	0.6036388895
747	0.6035742072
748	0.603499538
749	0.6034253401
750	0.6033388148
751	0.6032840615
752	0.6031661424
753	0.6030323317
754	0.6029393251
755	0.6028345405
756	0.6027131207
757	0.6026203349
758	0.6025382989
759	0.6024379557
760	0.6023106928
761	0.6022407775
762	0.6021479301
763	0.6020692903
764	0.6019833134
765	0.60189624767766	0.60177895768767	0.60154361769768	0.60144643770769	0.60138444771770	0.6012858677771	0.60120552777772	0.60111773177773	0.60098107775774	0.60092973776775	0.6007935777	776	0.6006849778	777	0.6005940779	0.6014132135
780	0.6012263792
781	0.6011169769
782	0.6010319905
783	0.6008876618
784	0.6008011525
785	0.6006287216
786	0.600552067
787	0.600422546
788	0.6002615809
789	0.6001713707
790	0.6000905788
791	0.5999637538
792	0.5998698552
793	0.5996760706
794	0.5995668621
795	0.5994642673
796	0.5993788284
797	0.599230689
798	0.5991669936
799	0.5991106385
800	0.5989925593
801	0.5988464126
802	0.598736756
803	0.598638125
804	0.5984924749
805	0.5983583055
806	0.5982880075
807	0.5981998029
808	0.598153949
809	0.5980354244
810	0.5979179038
811	0.5978265282
812	0.5976956767
813	0.5975254215
814	0.5974303702
815	0.5973137919
816	0.5971765209
817	0.5970337054
818	0.5968885225
819	0.596831247
820	0.596694151
821	0.5965358974
822	0.5964254045
823	0.5963480857
824	0.5962357316
825	0.5961260692
826	0.5959828715
827	0.5958874242
828	0.5957547525
829	0.5956960911
830	0.5956372277
831	0.595532869
832	0.5954430681
833	0.5953467272
834	0.5952737077
835	0.595212629
836	0.5950813596
837	0.5949964347
838	0.5948400901
839	0.5947420404
840	0.5945918977
841	0.5943882977
842	0.5943037365
843	0.5942271323
844	0.5941134403
845	0.5939759241
846	0.5938418091
847	0.5937516399
848	0.5936153472
849	0.593473905
850	0.5933239257
851	0.5931488197
852	0.5930358051
853	0.5929585149
854	0.5928270363
855	0.592714685
856	0.5925942629
857	0.5924519293
858	0.5923787029
859	0.5922826718
860	0.5922113176
861	0.5921557749
862	0.5920045272
863	0.5919111551
864	0.591745938
865	0.5915940015
866	0.591528231
867	0.5913900178
868	0.5913066776
869	0.5912589159
870	0.591185151
871	0.591098493
872	0.5909927943
873	0.5909076895
874	0.5908173598
875	0.5907436512
876	0.5906875304
877	0.5905409341
878	0.5904820294
879	0.5904268484
880	0.5903765837
881	0.5902334847
882	0.59016555
883	0.5900204929
884	0.5898715664
885	0.5898131401
886	0.5897259756
887	0.5895339826
888	0.5894608066
889	0.5893141394
890	0.5891843965
891	0.5890696263
892	0.5889964171
893	0.5888784891
894	0.5888247221
895	0.5886826905
896	0.5886342493
897	0.5885589185
898	0.5884928872
899	0.5884227182
900	0.5883401058
901	0.5882925946
902	0.5882114324
903	0.5880837501
904	0.5879817736
905	0.5879074993
906	0.5878329212
907	0.5877225554
908	0.5876485629
909	0.5875262776
910	0.587394524
911	0.5872806229
912	0.5871922594
913	0.587105298
914	0.5869306727
915	0.5867873067
916	0.5865936941
917	0.586521499
918	0.5864027071
919	0.5863174713
920	0.5862172473
921	0.5861058797
922	0.5860091166
923	0.585909594
924	0.5857934739
925	0.5857251129
926	0.5856019186
927	0.5855272124
928	0.5853708839
929	0.5852654063
930	0.5851119355
931	0.5850667699
932	0.5850147509
933	0.5848192368
934	0.5847246663
935	0.5846060661
936	0.5845259207
937	0.5843627558
938	0.5842443857
939	0.5840392295
940	0.5839533651
941	0.5838471577
942	0.5837767926
943	0.5837040984
944	0.5835976914
945	0.5834733499
946	0.5833818828
947	0.5832679761
948	0.5831862097
949	0.5830687824
950	0.5829639313
951	0.5828849273
952	0.5827737868
953	0.5826975227
954	0.5825816032
955	0.582519783
956	0.5824212533
957	0.5823437911
958	0.5822768929
959	0.5821757307
960	0.5821226412
961	0.5819693548
962	0.5818854822
963	0.5817470343
964	0.5816574431
965	0.581605968
966	0.581486104
967	0.5814338453
968	0.581352326
969	0.5812402769
970	0.5811798972
971	0.5811111509
972	0.5809924706
973	0.580972	0.5809881026
973	0.5808832904
974	0.5807493126
975	0.5806499869
976	0.5805606655
977	0.5804496213
978	0.5803729277
979	0.580323699
980	0.5802226229
981	0.5801177034
982	0.5800260147
983	0.5798800497
984	0.5797538343
985	0.5796780222
986	0.5795582233
987	0.5794419543
988	0.5792923924
989	0.5791598341
990	0.5790961365
991	0.5790373203
992	0.5789485759
993	0.5788329313
994	0.5787290358
995	0.5786045395
996	0.5784934036
997	0.5784147367
998	0.5783386801
999	0.5782851359
